=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 11:27:10 =~=~=~=~=~=~=~=~=~=~=~=
-8.97,-3.97,1.97,2.24,2.24,2.24
-8.88,-3.65,1.99,1.75,1.61,1.61
-8.85,-3.56,2.00,0.14,-0.77,-0.77
-8.97,-3.71,1.95,-1.89,-2.03,-2.03
-9.00,-3.78,1.87,-1.82,-1.82,-1.82
-8.97,-3.64,2.01,-2.31,-2.38,-2.38
-8.94,-3.77,1.98,-3.01,-2.87,-2.87
-8.99,-3.90,1.97,-1.68,-1.68,-1.40
-9.03,-4.07,1.92,0.07,0.70,1.12
-9.02,-4.02,1.94,2.94,2.94,3.15
-8.89,-3.74,1.95,3.08,3.08,2.94
-8.82,-3.51,1.93,0.84,0.84,0.42
-8.84,-3.55,1.89,-2.17,-2.17,-2.17
-8.94,-3.79,1.86,-2.24,-2.24,-2.24
-8.99,-3.92,1.86,-0.91,-0.91,-0.91
-8.95,-3.88,1.86,0.00,0.00,0.00
-8.86,-3.71,1.87,-0.84,-0.84,-0.84
-8.82,-3.70,1.84,-3.22,-3.22,-3.22
-8.89,-3.87,1.80,-2.59,-2.38,-2.38
-8.95,-3.80,1.80,-1.68,-1.68,-1.68
-8.94,-3.66,1.81,-2.24,-2.24,-2.24
-8.94,-3.63,1.81,-3.29,-3.29,-3.29
-9.01,-3.76,1.81,-3.71,-3.71,-3.71
-9.06,-3.78,1.92,-3.22,-3.22,-3.22
-9.04,-3.73,1.94,-3.36,-3.36,-3.36
-8.99,-3.73,2.00,-3.92,-3.92,-3.92
-8.82,-3.66,2.00,-3.78,-3.85,-3.85
-8.82,-3.71,1.99,-4.34,-4.41,-4.41
-8.93,-3.72,1.99,-4.34,-4.34,-4.34
-9.12,-3.80,1.98,-4.13,-4.20,-4.27
-9.13,-3.81,1.96,-3.92,-3.78,-3.78
-9.05,-3.77,1.94,-3.08,-3.08,-3.22
-9.04,-3.69,1.97,-3.22,-3.22,-3.36
-8.95,-3.60,1.96,-3.64,-3.78,-3.78
-8.95,-3.59,2.00,-4.13,-4.13,-4.41
-8.96,-3.63,2.00,-4.41,-4.41,-4.41
-8.99,-3.61,2.04,-4.83,-4.83,-5.25
-9.15,-3.54,2.11,-7.14,-7.14,-7.14
-9.30,-3.52,2.08,-9.31,-9.38,-9.38
-9.42,-3.54,2.10,-10.08,-10.57,-10.57
-9.51,-3.46,2.19,-11.62,-11.83,-12.46
-9.54,-3.26,2.26,-15.68,-15.68,-15.68
-9.43,-3.01,2.34,-21.70,-21.70,-22.47
-9.30,-2.77,2.43,-32.41,-32.41,-32.41
-9.23,-2.50,2.48,-43.19,-43.19,-43.19
-9.27,-2.34,2.51,-52.78,-56.21,-56.21
-9.25,-2.23,2.54,-67.55,-71.68,-71.68
-9.05,-2.36,2.40,-84.21,-88.55,-88.55
